,tweet_id,tweet_url,tweet_text,ocr_text,class_label,image_path,image_url,label,in_mm,topic,has_ocr
423,1033873653388267521,https://twitter.com/user/status/1033873653388267521,@shawnmilrad Nope. climate change isnt real. there is snow on the gfs. how could you? https://t.co/GyWChAkCcm,"Averaged Precip Rate (mm/hr), MSLP (hPa), & 1000-500mb Thick
2018 Forecast Hour: [384] valid at 18z Tue, Sep 11 2018
540
516-
-546-
1026
4024
522
99a52
----
528
564
1032534-
1012
1008
-1006.
1004
1028-540-
1022で545-
570
Ko02
1016558
1014
10082
",No,images_labeled/train/1033873653388267521.jpg,http://pbs.twimg.com/media/DlkOTOXU0AAeR22.jpg,0,True,climate,True
539,1034035321883639809,https://twitter.com/user/status/1034035321883639809,Trump’s Dirty Power Plan is much worse for kids’ health than for #climatechange | Dana Nuccitelli https://t.co/iQCIcdrlWx https://t.co/TzP93FCK9k,"The
Guardian
",No,images_labeled/train/1034035321883639809.jpg,http://pbs.twimg.com/media/DlmhpIpUYAEEJzk.jpg,0,True,climate,True
540,1035350690405773312,https://twitter.com/user/status/1035350690405773312,"@DRUDGE_REPORT It must have something to do with Trump, or climate change, or both. https://t.co/J3uaeebpyI",,No,images_labeled/train/1035350690405773312.jpg,http://pbs.twimg.com/tweet_video_thumb/Dl5N9iUX4AAYOpi.jpg,0,True,climate,False
1765,1034516980693434368,https://twitter.com/user/status/1034516980693434368,Climate change raises flood risks for river communities https://t.co/zWVDAjEKZV via @guardian https://t.co/5XJ0dQ4Xir,"The
Guardian
",No,images_labeled/train/1034516980693434368.jpg,http://pbs.twimg.com/media/DltXthnXcAAiSln.jpg,0,True,climate,True
1763,1033224835835551744,https://twitter.com/user/status/1033224835835551744,Prime Minister Imran Khan planting a tree at the foreign office last day. A symbol of Pakistan’s commitment to a green future and doing its part in reversing climate change. https://t.co/ONjNFqS4Ck,,Yes,images_labeled/train/1033224835835551744.jpg,http://pbs.twimg.com/media/DlbAdoYXcAAC1S1.jpg,1,True,climate,False
1762,1033762420731170816,https://twitter.com/user/status/1033762420731170816,"Myth: ""Scientists disagree about climate change.""

Reality: Real scientists agrees it's happening. 

Check out the animation of this data from @NASAClimate at https://t.co/iQaz3v7iYg

@Revkin @YEARSofLIVING @InsideNatGeo https://t.co/144HBdvnah","Some say scientists can't
agree on Earth's temperature changes.
Temperature Anomaly (C)
0.50
0.25
-0.25
NASA Goddard Institute for Space Studies
Met Office Hadley Centre/Climatic Research Unit
-0.50
NOAA National Climatic Data Center
Japanese Meteorological Agency
-0.75 T
1880
1900
1920
1940
1960
1980
2000
Here's what “disagreement"" looks like.
NA CLIMATE 365
climate365.tumblr.com | go.nasa.gov/climate365
",No,images_labeled/train/1033762420731170816.jpg,http://pbs.twimg.com/media/Dlio64iUcAECc-w.jpg,0,True,climate,True
544,1033374747940282370,https://twitter.com/user/status/1033374747940282370,"Why is climate change causing more extreme weather events?
https://t.co/wwdORYyv3J
#climatechange #climateaction 
#environment 
#energy https://t.co/8hIuauLudX","Global Climate Change Think & Act Tank 2017. GCCThinkActTank
Photo: Anne-Maria
Yritys Https://www.leadingwithpassion.org
""EC. Climate Change Factsheet 2015: Extreme weather events are becoming more frequent or
more severe. Their impacts include reduced water availability and crop yields, endangering
food production. ""
",No,images_labeled/train/1033374747940282370.jpg,http://pbs.twimg.com/media/DldI20ZW4AEY7R5.jpg,0,True,climate,True
545,1035249817583333376,https://twitter.com/user/status/1035249817583333376,"Climate corridors: areas that form the best route between current climate types and where those climates will occur in the future under climate change.
https://t.co/C3mpowNZni https://t.co/UMBRM0z4YM",,No,images_labeled/train/1035249817583333376.jpg,http://pbs.twimg.com/media/Dl3yOPoWwAAKiBi.jpg,0,True,climate,False
1761,1034519633649315841,https://twitter.com/user/status/1034519633649315841,"SPPA Alumni Reception: Friday, September 7 from 5-7pm, with MAPA graduate Matt Jones, Assistant Deputy Minister, Pan-Canadian Framework Implementation Office, Environment and Climate Change Canada https://t.co/cCAIoeBTtl @FPACarleton @CUGradStudies @CarletonAlumni https://t.co/0NwlDrXDHK","NIVER
ASOCIATION
2018 SPPA Alumni Reception
Dear SPPA alumni,
Every year the School of Public Policy and Administration (SPPA) welcomes new students into our programs. This
year, we are organizing an alumni reception for the close of the first week of school to help integrate these new
students into our Ottawa community.
We invite you to join us! SPPA alumni, please come out to welcome our new students and re-connect with fellow
graduates.
The reception will take place from 5:00 pm to 7:00 pm on Friday, September 7 in the Atrium of Richcraft Hall on
Carleton University Campus. Matt Jones - Assistant Deputy Minister, Pan-Canadian Framework Implementation
Office, Environment and Climate Change Canada and MAPA graduate 2001 - will offer brief remarks to the
incoming students, giving them advice on how to best use their two years at Carleton.
The reception will follow an Induction Exercise held from 1:30 pm to 4:45 pm that will focus on Canada's Opioid
Crisis. Alumni are welcome to attend this event also.
For more details and to register for the exercise and reception, please visit https://carleton.ca/sppa/cu-
events/sppa-alumni-reception/.
We hope to see you on September 7!
Sincerely,
Graeme Auld
Carleton
Director and Professor,
School of Public Policy and Administration
UNIVER SITY
CARLETO
ALUMNI
",No,images_labeled/train/1034519633649315841.jpg,http://pbs.twimg.com/media/DltZXNnUUAE_S1J.jpg,0,True,climate,True
1760,1034649100178870272,https://twitter.com/user/status/1034649100178870272,California's 4th Climate Change Assessment raises fears for state https://t.co/FP5RsIILlz https://t.co/QaBFOvR305,,Yes,images_labeled/train/1034649100178870272.jpg,http://pbs.twimg.com/media/DlvP33RXoAAHOyI.jpg,1,True,climate,False
