,tweet_id,tweet_url,tweet_text,ocr_text,class_label,image_path,image_url,label,in_mm,topic,has_ocr
1146,1222522551886180353,https://twitter.com/user/status/1222522551886180353,"Coronavirus risk in Sudbury low, but city says 'we are ready and prepared to respond' https://t.co/LGGiyYaN0Q https://t.co/kK2sev99j7","Greater/Grand
PLACE
TOM DAVIES
Sudbury
SQUARE
At Your VÀ votre
311 Service
Preatersudbury.ca www.grandsudbury.ca
",Yes,images_labeled/train/1222522551886180353.jpg,http://pbs.twimg.com/media/EPdFyAiUYAUqK8j.jpg,1,True,covid,True
1157,1222640821163495427,https://twitter.com/user/status/1222640821163495427,Here’s how coronavirus spreads on a plane—and where may be the safest place to sit https://t.co/BxRzBHkd5D @NatGeoScience https://t.co/ElrmMHKoMI,,Yes,images_labeled/train/1222640821163495427.jpg,http://pbs.twimg.com/media/EPexWNtXUAkjzNN.jpg,1,True,covid,False
1439,1222812081331699712,https://twitter.com/user/status/1222812081331699712,China postpones all domestic football matches for coronavirus control https://t.co/GKoLv5vDfr https://t.co/901gspLOtM,,Yes,images_labeled/train/1222812081331699712.jpg,http://pbs.twimg.com/media/EPhNFOZUwAAqFhD.jpg,1,True,covid,False
1425,1222790946124967936,https://twitter.com/user/status/1222790946124967936,Factbox: Commodity markets assess coronavirus impact on demand as airlines curtail flights https://t.co/4GDpNnNdRI https://t.co/dScaAYdqba,"GLOBAL JET FUEL DEMAND IMPACT FROM CORONAVIRUS
Best case
('000 b/d)
Worst case
(000 b/d)
China
- Other Asia
Rest of World
-200
-200
-400
-400
-600
-600
-800
-800
-1000
-1000
Assumes at least 30% flight cancellation rate in China,
20% in Asia and 8% globally in February.
Assumes up to 50% flight cancellation rate in China,
30% in Asia and 14% globally in February.
-1200
-1200
Jan
Feb
Mar
Apr
May
Jun
Jul
Aug
Jan
Feb
Mar
Apr
Мay
Jun
Jul
Aug
Source: S&P Global Platts Analytics
",No,images_labeled/train/1222790946124967936.jpg,http://pbs.twimg.com/media/EPg54qsW4AA_0rN.jpg,0,True,covid,True
1436,1222399325713489920,https://twitter.com/user/status/1222399325713489920,"The face mask all sold out in the store, Chinese wear plastic to block the Wu Han coronavirus，Does anybody know it is works or no https://t.co/ehVTTqZYbZ",,No,images_labeled/train/1222399325713489920.jpg,http://pbs.twimg.com/media/EPbVtPvUEAAFe6D.jpg,0,True,covid,False
1423,1222816353930792960,https://twitter.com/user/status/1222816353930792960,"Chinese media reveal NBA donated ¥10m ($1.44m) to Wuhan, including a medical equipment worth ¥2m ($288k) for a local hospital, to aid the battle vs. coronavirus spread. After the trade deal was signed, the tense relationship between NBA and Chinese authority has thawed somewhat. https://t.co/18FqYpV6ri",,Yes,images_labeled/train/1222816353930792960.jpg,http://pbs.twimg.com/media/EPhQ_LAUEAEMjvF.jpg,1,True,covid,False
1427,1222545130433007619,https://twitter.com/user/status/1222545130433007619,"We must all be cognizant of the magnitude of coronavirus...

We must brace ourselves for the worst and hope for the best. https://t.co/8JcqwvDX5Q","10:38
人 100%|
In Macau, a special administrative region of China, on
Tuesday. The Chinese government has recommended
that people across the country wear masks to halt the
spread of a coronavirus. Anthony Kwan/Getty Images
Evacuees from Wuhan
arrive in U.S.
A plane carrying more than 200
Americans from the Chinese city that is
the epicenter of a coronavirus
outbreak landed in Alaska on Tuesday.
The passengers, including diplomats
and businesspeople, were to undergo
medical screening before continuing
on to their final destination in
California. Here are the latest updates.
Chinese officials said today that at least
132 people had died from the virus and
raised the number of confirmed cases
to nearly 6,000.
Govermments and sinesses around
the world issued fresh travel warni
",Yes,images_labeled/train/1222545130433007619.jpg,http://pbs.twimg.com/media/EPdaT1NWsAAXw0M.jpg,1,True,covid,True
1148,1222532383053897728,https://twitter.com/user/status/1222532383053897728,Coronavirus Infect Middle East with First Case in UAE Confirmed https://t.co/jNFDQZf7H8 https://t.co/DSp1RfVBT1,,Yes,images_labeled/train/1222532383053897728.jpg,http://pbs.twimg.com/media/EPdOuUdXkAMp4bm.jpg,1,True,covid,False
1163,1222795888378236930,https://twitter.com/user/status/1222795888378236930,We are working closely with china to End Coronavirus – Trump (Photos) https://t.co/nqWiansaFL https://t.co/5EIAxmmL0o,,Yes,images_labeled/train/1222795888378236930.jpg,http://pbs.twimg.com/media/EPg-YWSWoAA5SsT.jpg,1,True,covid,False
1416,1222804087814619136,https://twitter.com/user/status/1222804087814619136,El Al Suspends Beijing Flights as Coronavirus Death Toll Rises to 170 - https://t.co/hGpw4eOGth @JewishPress https://t.co/wCvH0NdOX4,,Yes,images_labeled/train/1222804087814619136.jpg,http://pbs.twimg.com/media/EPhF1mpX4AECqFl.jpg,1,True,covid,False
